               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11305,             0.02596,                   0,          0.00079167,             0.16667,          0.00073415,          0.00018087,             0.10673,            0.016948,                   0,            0.070811,           0.0032432,           0.0032432
                   1,            0.094241,            0.019901,                   0,            0.001125,             0.23684,           0.0034932,          0.00076496,            0.098029,            0.013373,                   0,            0.040767,           0.0065332,           0.0065332
                   2,            0.087905,            0.016435,                   0,           0.0014583,             0.30702,            0.012251,           0.0029466,             0.09261,             0.01245,                   0,             0.01068,           0.0097791,           0.0097791
                   3,            0.076181,            0.017014,                   0,           0.0024583,             0.51754,             0.14027,            0.059649,             0.08432,            0.012707,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.070732,            0.016425,                   0,            0.052446,             0.24561,             0.13193,            0.048651,            0.079542,            0.012398,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.064151,            0.015979,                   0,             0.22933,             0.18421,             0.12118,            0.034184,             0.07015,             0.01357,                   0,            0.009736,            0.009736,            0.009736
                   6,             0.06069,            0.015789,                   0,             0.38769,             0.14035,             0.13495,            0.047406,             0.06825,            0.013587,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.056434,            0.014697,                   0,             0.31102,             0.16667,             0.14887,            0.064926,            0.061191,            0.013594,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.053559,            0.014737,                   0,             0.34517,             0.20175,             0.19559,            0.063667,            0.060289,            0.012669,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.053008,            0.013421,                   0,             0.53616,             0.36842,             0.34178,             0.12526,            0.059569,            0.012226,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.049548,            0.012657,                   0,             0.49538,             0.31579,             0.32818,               0.101,            0.061575,            0.011091,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.049446,            0.011997,                   0,             0.49099,             0.39771,             0.42367,             0.16694,            0.058918,            0.011103,                   0,             0.00934,             0.00934,             0.00934
                  12,              0.0469,            0.011887,                   0,              0.4375,             0.41621,             0.39348,              0.1227,            0.059764,            0.010021,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.045468,            0.010849,                   0,             0.46254,             0.51754,             0.35379,             0.10686,            0.056149,            0.009559,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.044467,            0.010274,                   0,             0.54817,             0.49123,             0.51414,             0.17038,            0.055611,           0.0094543,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.042726,           0.0098639,                   0,             0.69443,             0.58772,             0.64432,             0.23564,            0.051604,           0.0093085,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.043029,           0.0093567,                   0,             0.62236,             0.51754,             0.56488,             0.21502,            0.050922,           0.0093763,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.042335,           0.0088382,                   0,             0.68171,             0.61404,               0.636,             0.24487,            0.052596,           0.0093346,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.041521,           0.0092342,                   0,             0.75956,             0.60967,             0.68256,             0.25323,            0.048968,           0.0091633,                   0,            0.008878,            0.008878,            0.008878
